rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,learning_rate_init,hidden_layer_sizes
1,1,1,1,1,2.887250614,0.001,8
1,1,1,1,1,0.228902864,0.1,16
1,1,1,1,1,2.104663181,0.001,32
1,1,1,1,1,0.686852264,0.01,32
1,1,1,1,1,1.828036356,0.001,64
1,1,1,1,1,0.663132715,0.01,64
1,1,1,1,1,0.514455366,0.1,64
1,1,1,1,1,1.875343943,0.001,"(8, 8)"
1,1,1,1,1,0.553119135,0.01,"(8, 8)"
1,1,1,1,1,1.170195436,0.001,"(16, 16)"
1,1,1,1,1,0.392865705,0.01,"(16, 16)"
1,1,1,1,1,1.226010513,0.001,"(32, 32)"
1,1,1,1,1,0.462048244,0.01,"(32, 32)"
1,1,1,1,1,1.22657814,0.001,"(64, 64)"
1,1,1,1,1,0.463634443,0.01,"(64, 64)"
16,0.980096705,0.975275542,0.977158237,0.977042628,0.453091621,0.1,"(64, 64)"
17,0.966721815,0.959287532,0.961984821,0.961767023,0.238776445,0.1,"(16, 16)"
18,0.954331059,0.94635439,0.950021413,0.949760766,0.59912014,0.01,8
19,0.934160351,0.919238966,0.924441743,0.924013657,0.239220142,0.1,"(8, 8)"
20,0.910581572,0.893215851,0.904240546,0.903917964,0.272088242,0.1,8
21,0.880871518,0.860769865,0.870213459,0.869505887,1.310535479,0.001,16
22,0.87626241,0.849515644,0.870664199,0.871908509,0.44985199,0.01,16
23,0.832085662,0.718331413,0.80715666,0.836932318,0.276310301,1,64
24,0.749927986,0.538635982,0.71119865,0.772817485,0.223544645,0.1,"(32, 32)"
25,0.7,0.4,0.653261,0.746135136,0.258290243,0.1,32
26,0.58340249,0.179695431,0.51880922,0.642509507,0.185552311,1,8
27,0.5,0.237983193,0.354275496,0.515715248,0.088737631,1,16
27,0.5,0,0.422182236,0.576959267,0.163289309,1,32
27,0.5,0.118791946,0.387782564,0.545933014,0.13690486,1,"(8, 8)"
27,0.5,0,0.422182236,0.576959267,0.365002775,1,"(32, 32)"
27,0.5,0,0.422182236,0.576959267,0.653967524,1,"(64, 64)"
32,0.498340249,0,0.421288909,0.575045392,0.144363832,1,"(16, 16)"
