rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,learning_rate_init,hidden_layer_sizes
1,1.0,1.0,1.0,1.0,2.88725061416626,0.001,8
1,1.0,1.0,1.0,1.0,0.22890286445617675,0.1,16
1,1.0,1.0,1.0,1.0,2.1046631813049315,0.001,32
1,1.0,1.0,1.0,1.0,0.6868522644042969,0.01,32
1,1.0,1.0,1.0,1.0,1.82803635597229,0.001,64
1,1.0,1.0,1.0,1.0,0.6631327152252198,0.01,64
1,1.0,1.0,1.0,1.0,0.5144553661346436,0.1,64
1,1.0,1.0,1.0,1.0,1.8753439426422118,0.001,"(8, 8)"
1,1.0,1.0,1.0,1.0,0.5531191349029541,0.01,"(8, 8)"
1,1.0,1.0,1.0,1.0,1.1701954364776612,0.001,"(16, 16)"
1,1.0,1.0,1.0,1.0,0.3928657054901123,0.01,"(16, 16)"
1,1.0,1.0,1.0,1.0,1.226010513305664,0.001,"(32, 32)"
1,1.0,1.0,1.0,1.0,0.46204824447631837,0.01,"(32, 32)"
1,1.0,1.0,1.0,1.0,1.226578140258789,0.001,"(64, 64)"
1,1.0,1.0,1.0,1.0,0.46363444328308107,0.01,"(64, 64)"
16,0.980096704502589,0.9752755419693188,0.9771582371064653,0.9770426282673487,0.4530916213989258,0.1,"(64, 64)"
17,0.9667218153958048,0.9592875318066157,0.9619848208410859,0.961767023329641,0.23877644538879395,0.1,"(16, 16)"
18,0.954331059380641,0.9463543899302443,0.9500214133477625,0.9497607655502392,0.5991201400756836,0.01,8
19,0.9341603511539386,0.9192389661719689,0.9244417434216009,0.9240136574893516,0.23922014236450195,0.1,"(8, 8)"
20,0.9105815715866928,0.8932158510840684,0.9042405462437728,0.9039179637094472,0.27208824157714845,0.1,8
21,0.880871518476132,0.8607698645761339,0.8702134586524155,0.8695058866519739,1.310535478591919,0.001,16
22,0.8762624099171228,0.8495156439435018,0.8706641988387487,0.8719085085245115,0.44985198974609375,0.01,16
23,0.8320856623572579,0.7183314134877665,0.8071566603548922,0.836932317776433,0.27631030082702634,1,64
24,0.7499279860087102,0.5386359820156852,0.7111986503653814,0.7728174852405477,0.22354464530944823,0.1,"(32, 32)"
25,0.7,0.4,0.6532609998326274,0.7461351360610247,0.2582902431488037,0.1,32
26,0.583402489626556,0.17969543147208122,0.5188092195975825,0.6425095065718103,0.18555231094360353,1,8
27,0.5,0.23798319327731093,0.35427549602208575,0.5157152481986046,0.0887376308441162,1,16
27,0.5,0.0,0.4221822359228874,0.5769592673373605,0.16328930854797363,1,32
27,0.5,0.11879194630872483,0.38778256428297636,0.5459330143540669,0.13690485954284667,1,"(8, 8)"
27,0.5,0.0,0.4221822359228874,0.5769592673373605,0.36500277519226076,1,"(32, 32)"
27,0.5,0.0,0.4221822359228874,0.5769592673373605,0.6539675235748291,1,"(64, 64)"
32,0.4983402489626556,0.0,0.421288909230814,0.5750453917392744,0.1443638324737549,1,"(16, 16)"
