rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.9172571121846484,0.8353523992626718,0.9844409397313537,0.9828703703703704,1.9098616600036622,100,scale
2,0.8997584541062802,0.8225086132404054,0.9841852691437241,0.9832818930041153,1.4720508098602294,1000,scale
3,0.8742887815351583,0.7445967098339089,0.9768421585615593,0.9752057613168723,1.2611141681671143,100,auto
4,0.8702630166398283,0.7182149791592161,0.9741370259775353,0.9720164609053498,4.475117969512939,10000,scale
5,0.8702093397745572,0.7168529285811027,0.9733876542950892,0.9707818930041153,2.2095086574554443,10000,auto
6,0.870048309178744,0.714263833349915,0.9731233224620164,0.9704732510288065,2.1406200885772706,1000,auto
7,0.8565485775630703,0.7443769616113066,0.9773472350440485,0.9762860082304525,1.7618537902832032,10,auto
8,0.5692431561996779,0.044081632653061226,0.9090261051684678,0.9077160493827161,2.5015741348266602,10,scale
9,0.5638486312399356,0.03877917414721723,0.9013479682294381,0.8973765432098766,2.113414478302002,1,auto
10,0.5563070316693505,0.04011627906976744,0.9107500798903183,0.910082304526749,2.1796457290649416,1,scale
11,0.5012345679012346,0.004878048780487804,0.9381958020561857,0.9584362139917696,2.056940221786499,0.1,auto
12,0.5,0.0,0.9379432624113475,0.9583333333333334,1.4502163410186768,0.01,scale
12,0.5,0.0,0.9379432624113475,0.9583333333333334,1.6597085475921631,0.01,auto
12,0.5,0.0,0.9379432624113475,0.9583333333333334,1.8934529304504395,0.1,scale
