rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.9091763499658236,0.8145273006563329,0.9686739705495455,0.9666666666666666,0.005790042877197266,100,scale
1,0.9091763499658236,0.8145273006563329,0.9686739705495455,0.9666666666666666,0.005727910995483398,100,auto
3,0.8766461608566871,0.737099567099567,0.9547583226192895,0.951388888888889,0.005791807174682617,1000,scale
3,0.8766461608566871,0.737099567099567,0.9547583226192895,0.951388888888889,0.0059356212615966795,10000,scale
5,0.8758942811574391,0.7342424242424241,0.9537577893361476,0.95,0.005635213851928711,1000,auto
5,0.8758942811574391,0.7342424242424241,0.9537577893361476,0.95,0.00680389404296875,10000,auto
7,0.6053998632946002,0.22037422037422036,0.8976759439014254,0.9166666666666667,0.006622505187988281,10,scale
8,0.595557074504443,0.18960863697705804,0.8938835948595344,0.913888888888889,0.0048159599304199215,10,auto
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.006407928466796875,0.01,scale
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.0067097187042236325,0.01,auto
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.0041977882385253905,0.1,scale
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.006600809097290039,0.1,auto
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.008811712265014648,1,scale
9,0.5,0.0,0.8849090496869495,0.9222222222222223,0.006999349594116211,1,auto
