rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,1.0,1.0,1.0,1.0,0.0019925117492675783,0.1,scale
1,1.0,1.0,1.0,1.0,0.001506662368774414,1,scale
1,1.0,1.0,1.0,1.0,0.0016190052032470704,1,auto
1,1.0,1.0,1.0,1.0,0.0014165878295898438,10,scale
1,1.0,1.0,1.0,1.0,0.0010142803192138671,10,auto
1,1.0,1.0,1.0,1.0,0.0014019012451171875,100,scale
1,1.0,1.0,1.0,1.0,0.0011930465698242188,100,auto
1,1.0,1.0,1.0,1.0,0.0015781402587890625,1000,scale
1,1.0,1.0,1.0,1.0,0.0014233589172363281,1000,auto
1,1.0,1.0,1.0,1.0,0.0012098789215087891,10000,scale
1,1.0,1.0,1.0,1.0,0.0017913818359375,10000,auto
12,0.9928571428571429,0.9925925925925926,0.9958715254489903,0.9959183673469388,0.0018145084381103516,0.1,auto
13,0.5,0.0,0.5952380952380952,0.7142857142857143,0.0017977714538574218,0.01,scale
13,0.5,0.0,0.5952380952380952,0.7142857142857143,0.0016042709350585938,0.01,auto
