rank_test_score,mean_test_score,mean_fit_time,kernel,degree,C,gamma
1,0.8874678367643641,82.18637137413025,poly,2,10,auto
1,0.8874678367643641,54.98326296806336,poly,2,100,scale
1,0.8874678367643641,85.86218008995056,poly,2,100,auto
1,0.8874678367643641,106.624889087677,poly,2,1000,scale
1,0.8874678367643641,95.7967848777771,poly,2,1000,auto
6,0.8603993120796816,7.50007209777832,poly,3,1,auto
7,0.8274965482650607,6.894213104248047,poly,3,10,auto
8,0.817241911043911,1.9201982498168946,rbf,1,100,scale
9,0.81530927233321,7.049878931045532,poly,3,100,scale
10,0.812285883353935,37.272857141494754,poly,3,100,auto
11,0.8030177382981295,13.245596027374267,poly,3,1000,scale
12,0.8018401406034619,301.27707986831666,poly,3,1000,auto
13,0.7868451597887545,2.3947940826416017,rbf,1,1000,scale
14,0.7788179576743749,15.955176734924317,poly,4,1000,scale
15,0.7754591027078687,24.56692385673523,poly,4,10,auto
16,0.7754341296609449,4.795398712158203,poly,4,1,auto
17,0.771772462294255,234.028320980072,poly,4,100,auto
18,0.7608682273117303,4.349011993408203,poly,4,100,scale
19,0.7478709196580829,14.092503118515015,poly,5,1,auto
20,0.7473926289070109,15.756866121292115,poly,5,1000,scale
21,0.7271693328444355,3.1158907413482666,poly,4,0.1,auto
22,0.7261838532981406,5.3544745445251465,poly,5,100,scale
23,0.7255547900938406,4.074971628189087,poly,5,0.1,auto
24,0.7232661327058079,140.88312582969667,poly,5,10,auto
25,0.718167742461673,1.688896656036377,rbf,1,10,auto
26,0.709497240705257,763.7707885742187,poly,4,1000,auto
27,0.6990182486572154,1.5262135028839112,rbf,1,100,auto
28,0.6630687237045049,858.3989433765412,poly,5,100,auto
29,0.6605509263647392,2.820858335494995,poly,3,10,scale
30,0.6440331873494982,1454.907786655426,poly,5,1000,auto
31,0.6405619268705135,2.025601291656494,rbf,1,1000,auto
32,0.6368386458727041,5.324648046493531,poly,4,10,scale
33,0.6170965578403642,3.1060500621795653,poly,5,0.01,auto
34,0.6098937064122396,3.6216270446777346,poly,5,10,scale
35,0.3425352618388854,3.6586734294891357,poly,4,0.01,auto
36,0.3408081405213302,1.8038939952850341,poly,3,0.1,auto
37,0.28674435300964635,4.387576103210449,poly,5,1,scale
38,0.09381107491856677,1.8674973487854003,poly,2,1,auto
39,0.08635682158920538,2.0795287609100344,poly,2,10,scale
40,0.05877551020408164,1.5281011581420898,poly,2,0.1,auto
41,0.056108597285067875,1.6996138095855713,poly,5,0.01,scale
42,0.05584045584045585,2.231552171707153,rbf,1,1,scale
43,0.05355493998153277,1.4535165786743165,poly,3,0.01,auto
44,0.05302402651201325,1.701246976852417,poly,4,0.1,scale
45,0.05022444486166346,2.7596704959869385,poly,4,1,scale
46,0.04946564885496183,1.6539010047912597,poly,3,1,scale
47,0.043373493975903614,2.116425037384033,rbf,1,10,scale
48,0.038895558223289314,1.9511460781097412,rbf,1,1,auto
49,0.035390496996176954,2.058770751953125,poly,5,0.1,scale
50,0.0,0.5961349487304688,poly,1,0.01,scale
50,0.0,0.613427734375,poly,1,0.01,auto
50,0.0,0.8229833602905273,poly,2,0.01,scale
50,0.0,1.0810590744018556,poly,2,0.01,auto
50,0.0,0.9796515941619873,poly,3,0.01,scale
50,0.0,1.2498313426971435,poly,4,0.01,scale
50,0.0,1.0555534839630127,poly,1,0.1,scale
50,0.0,0.7301550388336182,poly,1,0.1,auto
50,0.0,1.037768793106079,poly,2,0.1,scale
50,0.0,1.1531628608703612,poly,3,0.1,scale
50,0.0,1.0173004627227784,poly,1,1,scale
50,0.0,0.838934850692749,poly,1,1,auto
50,0.0,1.1901878833770752,poly,2,1,scale
50,0.0,1.187192678451538,poly,1,10,scale
50,0.0,1.957797145843506,poly,1,10,auto
50,0.0,75.15611634254455,poly,1,100,scale
50,0.0,309.3777000427246,poly,1,100,auto
50,0.0,426.6338352203369,poly,1,1000,scale
50,0.0,357.9447820186615,poly,1,1000,auto
50,0.0,1.5243621826171876,rbf,1,0.01,scale
50,0.0,1.6293996810913085,rbf,1,0.01,auto
50,0.0,1.6824788570404052,rbf,1,0.1,scale
50,0.0,1.976757574081421,rbf,1,0.1,auto
