rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.8840617180984154,0.8134388258227266,0.983086238337003,0.9833333333333332,0.01281147003173828,100,scale
1,0.8840617180984154,0.8134388258227266,0.983086238337003,0.9833333333333332,0.01159529685974121,100,auto
3,0.8679876471560402,0.6322109686858768,0.9588793326638079,0.9526315789473685,0.016802978515625,1000,scale
3,0.8679876471560402,0.6181324041811846,0.9583485222536616,0.9526315789473685,0.01811375617980957,10000,scale
5,0.8584359085720437,0.6021324041811846,0.9566932936950259,0.9508771929824562,0.014181184768676757,10000,auto
6,0.8570576478862953,0.5939023766930744,0.9548872006190667,0.9482456140350877,0.013106012344360351,1000,auto
7,0.5862385321100918,0.08,0.925778728925228,0.9368421052631579,0.008829736709594726,10,scale
8,0.5771559633027523,0.07659574468085106,0.9262006139290373,0.9377192982456141,0.00940561294555664,10,auto
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.004401254653930664,0.01,scale
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.004196262359619141,0.01,auto
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.004602622985839844,0.1,scale
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.005614233016967773,0.1,auto
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.007641220092773437,1,scale
9,0.5,0.0,0.9321124850722058,0.9543859649122807,0.006999444961547851,1,auto
