rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.9715555555555555,0.9668393782383419,0.9923910843490464,0.9929085872576178,0.49813528060913087,100,scale
2,0.9711111111111113,0.9662337662337663,0.9922623851271665,0.9927977839335181,0.3099689960479736,1000,scale
3,0.971111111111111,0.9665490033222591,0.992297272195386,0.9927976610916952,0.2884991645812988,10000,scale
4,0.9662222222222221,0.959554565701559,0.9908440872085146,0.9915788859475096,1.8168984413146974,10,scale
5,0.947111111111111,0.9332607338742879,0.9852715007423619,0.986813421697551,0.45602731704711913,1000,auto
5,0.947111111111111,0.9332607338742879,0.9852715007423619,0.986813421697551,0.4249986171722412,10000,auto
7,0.9466666666666667,0.9322338830584707,0.9850945702706874,0.9867026797943627,0.4709496021270752,100,auto
8,0.9426666666666665,0.9264774123106319,0.9838984292028107,0.9857052041938198,0.7998405933380127,10,auto
9,0.8521160275319568,0.7901749757802788,0.956065041094584,0.963096228141833,1.5778069496154785,1,auto
10,0.5194690265486726,0.072714571884097,0.8279042810211104,0.8798753769708435,1.7294301509857177,1,scale
11,0.5,0.0,0.8166667304100553,0.8750000307104557,0.7900526523590088,0.01,scale
11,0.5,0.0,0.8166667304100553,0.8750000307104557,1.0147463798522949,0.01,auto
11,0.5,0.0,0.8166667304100553,0.8750000307104557,1.1438657283782958,0.1,scale
11,0.5,0.0,0.8166667304100553,0.8750000307104557,1.372558069229126,0.1,auto
