rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.9068266764141221,0.7868451597887545,0.9724067878598348,0.964866255144033,2.307143211364746,1000,scale
2,0.9020071195940318,0.817241911043911,0.9824587622507741,0.9805041152263374,2.0528948307037354,100,scale
3,0.8771759197100003,0.6769425227612021,0.9552640727360302,0.942849794238683,4.8732610702514645,10000,scale
4,0.8702322265361297,0.6990182486572154,0.9645339460211915,0.9566358024691357,1.4228427410125732,100,auto
5,0.8486682868518024,0.718167742461673,0.9725290633555135,0.9694444444444444,1.9600718021392822,10,auto
6,0.8462190596477122,0.6405619268705135,0.9566019670236638,0.9467592592592592,2.111178684234619,1000,auto
7,0.8150903275314271,0.5762819774031553,0.955604784139083,0.9482510288065843,3.4261940479278565,10000,auto
8,0.5685990338164251,0.043373493975903614,0.9080552244782977,0.9064300411522634,2.797348976135254,10,scale
9,0.5639828234031132,0.038895558223289314,0.9014682198844788,0.8975823045267489,2.6133375644683836,1,auto
10,0.5486312399355878,0.05584045584045585,0.9305620819818273,0.9405864197530865,2.45825457572937,1,scale
11,0.5,0.0,0.9378672115597088,0.9582818930041153,1.4679471492767333,0.01,scale
11,0.5,0.0,0.9378672115597088,0.9582818930041153,1.6759263515472411,0.01,auto
11,0.5,0.0,0.9378672115597088,0.9582818930041153,1.8824472427368164,0.1,scale
11,0.5,0.0,0.9378672115597088,0.9582818930041153,2.0808506488800047,0.1,auto
