rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.012619304656982421,0.01,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.017738866806030273,0.01,auto
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.014209270477294922,0.1,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.020404624938964843,0.1,auto
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.02075357437133789,1,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.03772869110107422,10,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,0.20472731590270996,100,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,1.812969732284546,1000,scale
1,0.5,0.0,0.639026785445923,0.7471538890215748,5.691076850891113,10000,scale
10,0.48816407919099847,0.0,0.6302257062073486,0.7294642146325929,0.09922165870666504,1000,auto
10,0.48816407919099847,0.0,0.6302257062073486,0.7294642146325929,0.09706063270568847,10000,auto
12,0.48814983620566876,0.0,0.6300126528784591,0.7294482923334129,0.03136100769042969,1,auto
13,0.4873166215638798,0.0,0.6295429889198293,0.7281983918477828,0.043683958053588864,100,auto
14,0.48627154251531124,0.04182995424965256,0.6318522960802639,0.7142823023644613,0.026611328125,10,auto
