rank_test_balanced_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_test_f1_weighted,mean_test_accuracy,mean_fit_time,C,gamma
1,0.9703917293761869,0.965816024103605,0.9735665620487579,0.9742140663004877,0.13583455085754395,10,scale
2,0.9666666666666666,0.9617123562067189,0.9709271497414595,0.9718285733861667,0.12533211708068848,100,scale
3,0.9576271186440678,0.9512346544369455,0.9630066213336079,0.9641776387160131,0.07967624664306641,1000,scale
3,0.9576271186440678,0.9512346544369455,0.9630066213336079,0.9641776387160131,0.0773423194885254,10000,scale
5,0.9402981925592517,0.9285754676581084,0.9467468655960701,0.9488803370978978,0.11629552841186523,10,auto
6,0.9192090395480227,0.8946434888069129,0.9261322432675858,0.9316897146315561,0.07542128562927246,100,auto
7,0.9152542372881356,0.8892976718331889,0.922491285250517,0.9283404323349054,0.06912117004394532,1000,auto
7,0.9152542372881356,0.8892976718331889,0.922491285250517,0.9283404323349054,0.06935091018676758,10000,auto
9,0.8903415036374136,0.8716899023168179,0.8752500011184807,0.8752246748352766,0.09436125755310058,1,scale
10,0.8857838336436116,0.8634660629004258,0.877571677801092,0.8776421418049353,0.09376907348632812,1,auto
11,0.8463290010630636,0.8272793451046333,0.8216756223550693,0.8226684633040617,0.10216212272644043,0.1,auto
12,0.8363910702650801,0.8179446651334624,0.8097453949356874,0.8111989128821187,0.11051578521728515,0.1,scale
13,0.5,0.0,0.4221822359228874,0.5769592673373605,0.12850966453552246,0.01,scale
14,0.4975103734439834,0.0,0.4208381417805259,0.5740884539402313,0.13525009155273438,0.01,auto
